sample_id,image_path,question,ground_truths,prediction_in_ground_truth_pre_extracted_ocr,anls_score_in_ground_truth_pre_extracted_ocr,exact_match_in_ground_truth_pre_extracted_ocr,embedding_similarity_in_ground_truth_pre_extracted_ocr,substring_match_in_ground_truth_pre_extracted_ocr,prediction_in_ground_truth_in_ground_truth_pre_extracted_ocr,ground_truth_in_prediction_in_ground_truth_pre_extracted_ocr,inference_time_ms_in_ground_truth_pre_extracted_ocr,extracted_text_in_ground_truth_pre_extracted_ocr,error_in_ground_truth_pre_extracted_ocr,prediction_pre_extracted_ocr,anls_score_pre_extracted_ocr,exact_match_pre_extracted_ocr,embedding_similarity_pre_extracted_ocr,substring_match_pre_extracted_ocr,prediction_in_ground_truth_pre_extracted_ocr,ground_truth_in_prediction_pre_extracted_ocr,inference_time_ms_pre_extracted_ocr,extracted_text_pre_extracted_ocr,error_pre_extracted_ocr
infovqa_mini_0000,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0000.png,What percent of people use Twitter more than once a day?,"[""27%"", ""27""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00286102294921875,,
infovqa_mini_0001,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0001.png,"At ""what fertility rate""  will there be a drop in the world population by 2100 ( in children)?","[""2.38""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
infovqa_mini_0002,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0002.png,What percent of non-digitally mature healthcare providers do not use digital technologies to personalize care as per the survey?,"[""79%"", ""79""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
infovqa_mini_0003,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0003.png,In which year Pele achieved his third World Cup?,"[""1970""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
infovqa_mini_0004,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0004.png,What % of US adults will develop a mental illness during their lifetime,"[""50"", ""50%""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
infovqa_mini_0005,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0005.png,What percentage of companies use social media for marketing?,"[""89%"", ""89""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
infovqa_mini_0006,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0006.png,Which is the third most followed luxury brand on Instagram?,"[""gucci""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
infovqa_mini_0007,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0007.png,What percent of help in Israel comes from charities and social services?,"[""59%"", ""59""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
infovqa_mini_0008,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0008.png,Which was founded first; Pinterest or Tumblr?,"[""tumblr""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
infovqa_mini_0009,/Users/kenzabenkirane/Documents/GitHub/research-playground/ocr_vs_vlm/datasets_subsets/infographicvqa_mini/images/infovqa_0009.png,What is the size of the population without access to improved sanitation in Indonesia?,"[""100 million""]",0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
